Brand name,Price,Rating,Rating count,Review count,Ranking,URL,SKU
SLYDER,9457,0.0,0,0,29,https://www.amazon.in/SLYDER-Office-Fingerprint-Emergency-Biometric/dp/B0CVB1TCR3/ref=sr_1_165?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-165,1
EXCLUZO,8802,0.0,0,0,30,https://www.amazon.in/EXCLUZO-Semiconductor-Fingerprint-Multifunctional-Apartment/dp/B0CB67CMQT/ref=sr_1_166?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-166,2
ROBSYNC,9948,4.4,41,41,31,https://www.amazon.in/ROBSYNC-Secure-Door-Tapping-Offices-Wireless/dp/B0BTH9Q4RX/ref=sr_1_167?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-167,1
amiciSmart,10199,5.0,1,1,32,https://www.amazon.in/amiciSmart-Biometric-Smartlife-Compatible-Multiple/dp/B0BBW1ZRG2/ref=sr_1_168?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-168,1
Okos,0,5.0,1,1,33,https://www.amazon.in/Okos-Supports-Automation-Fingerprint-Password/dp/B08P9KP4RG/ref=sr_1_169?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-169,1
Golens,1999,5.0,4,4,34,https://www.amazon.in/Golens-X61-Independent-Indicator-Protection/dp/B0C3K6CTKY/ref=sr_1_170?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-170,3
Gadget,159,3.8,106,106,35,https://www.amazon.in/Gadget-Deals-Against-Theft-Bicycle/dp/B0CGJ1Q8YL/ref=sr_1_171?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-171,1
Fingerprint,7400,3.1,29,29,36,https://www.amazon.in/Heavy-Duty-Fingerprint-Padlock-APP/dp/B0C81DZGVV/ref=sr_1_172?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-172,2
Dorset,6799,4.0,9,9,37,https://www.amazon.in/Dorset-Digital-Security-Solution-Installation/dp/B0B9SH8PNK/ref=sr_1_173?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-173,7
ZKTeco,7499,5.0,1,1,38,https://www.amazon.in/ZKTeco-Biometric-Fingerprint-Mechanical-Reversible/dp/B084YRTW1W/ref=sr_1_174?dib=eyJ2IjoiMSJ9.cRXSTpsalr9Z9v7izKGBsAtUPy4N6A5d1MYxX2FxA0kzhESI1QVjuZJIC6XM7pa84pYzF3Rouv5aj7faytZOaVSc2roxkA_xDZSdAbOBRN1q1zu73YuA8w7UGJ9I87WoA0hUcin6flDBBdGMLTYwQBhBXeu7FD0d83zaKQcr70S_Spti4T8ObOxqSSYop-fkZqrKzco0lVEI1MDk3lUbqF3qR99rjO9G0oBQpaR455_cuP3JbJDjj0Te0Snd9sLA0YK6eatEYk9LqeZhG8Q-lDsSq9CMvajI-_byDYOZJgc.vwXBbKerCDcGG038AEYzXG8hYPpWR04iTIKfI5U_0Lo&dib_tag=se&keywords=smart+lock&qid=1721374871&sr=8-174,3
